time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,ehc_plans,number_asd,number_ds,number_hi,number_mld,number_msi,number_oth,number_pd,number_pmld,number_semh,number_slcn,number_sld,number_spld,number_vi,number_need_unknown,asd_pc,ds_pc,hi_pc,mld_pc,msi_pc,oth_pc,pd_pc,pmld_pc,semh_pc,slcn_pc,sld_pc,spld_pc,vi_pc,unknown_pc
202425,Academic year,National,E92000001,England,,,,,,All EHC plans,All EHC plans,638745,201183,x,8765,67861,1692,7512,24897,8577,132218,135835,25025,15030,5280,4870,31.5,x,1.4,10.6,0.3,1.2,3.9,1.3,20.7,21.3,3.9,2.4,0.8,0.8
202425,Academic year,National,E92000001,England,,,,,,Child or young persons age,age 10,41405,13579,x,517,4569,109,517,1443,528,8179,8745,1477,1116,335,291,32.8,x,1.2,11,0.3,1.2,3.5,1.3,19.8,21.1,3.6,2.7,0.8,0.7
202425,Academic year,National,E92000001,England,,,,,,Child or young persons age,age 11,46775,15122,x,595,5585,122,601,1609,510,10159,8596,1649,1497,381,349,32.3,x,1.3,11.9,0.3,1.3,3.4,1.1,21.7,18.4,3.5,3.2,0.8,0.7
202425,Academic year,National,E92000001,England,,,,,,Child or young persons age,age 12,47172,15003,x,669,6085,106,605,1672,583,10725,7729,1791,1515,366,323,31.8,x,1.4,12.9,0.2,1.3,3.5,1.2,22.7,16.4,3.8,3.2,0.8,0.7
202425,Academic year,National,E92000001,England,,,,,,Child or young persons age,age 13,47359,14737,x,594,5899,115,576,1573,559,12367,6966,1792,1484,358,339,31.1,x,1.3,12.5,0.2,1.2,3.3,1.2,26.1,14.7,3.8,3.1,0.8,0.7
202425,Academic year,National,E92000001,England,,,,,,Child or young persons age,age 14,47125,14590,x,571,5701,100,552,1619,517,13303,6180,1931,1383,382,296,31,x,1.2,12.1,0.2,1.2,3.4,1.1,28.2,13.1,4.1,2.9,0.8,0.6
202425,Academic year,National,E92000001,England,,,,,,Child or young persons age,age 15,44886,13677,x,606,5343,103,525,1667,487,13251,5507,1889,1175,366,290,30.5,x,1.4,11.9,0.2,1.2,3.7,1.1,29.5,12.3,4.2,2.6,0.8,0.6
202425,Academic year,National,E92000001,England,,,,,,Child or young persons age,age 16,42005,12767,x,609,4937,80,507,1675,489,12432,4912,1877,1047,387,286,30.4,x,1.4,11.8,0.2,1.2,4,1.2,29.6,11.7,4.5,2.5,0.9,0.7
202425,Academic year,National,E92000001,England,,,,,,Child or young persons age,age 17,36484,11037,x,554,4422,83,383,1623,491,10509,4118,1709,946,354,255,30.3,x,1.5,12.1,0.2,1,4.4,1.3,28.8,11.3,4.7,2.6,1,0.7
202425,Academic year,National,E92000001,England,,,,,,Child or young persons age,age 18,28598,8692,x,437,3741,70,316,1271,433,7585,3244,1596,720,324,169,30.4,x,1.5,13.1,0.2,1.1,4.4,1.5,26.5,11.3,5.6,2.5,1.1,0.6
